Artist,Title,Grammar,Vocabulary,Culture,Country,Other,,,,,,
"12"" Ninjazz",Caracas,,,,Venezuela,http://www.youtube.com/watch?feature=player_embedded&v=8S6PzLCGxVc#!,,,,,,
60 Tigres,Modelos sin personalidad,,,,México,http://www.youtube.com/watch?v=8fBEgAF_X6w&feature=mfu_in_order&list=UL,,,,,,
"Acedo, Omar",Eres tú,,,,Venezuela,http://www.youtube.com/watch?v=KezdOyd6HIs,,,,,,
"Acha, Alexander",Amiga,future,darse cuenta de,,México,http://www.youtube.com/watch?v=SZvmBGQJ99o&ob=av2e,,,,,,
Ádammo,Algún día,"preterite, llo que",,,Perú,http://www.youtube.com/watch?v=naYCHlqsuwA,,,,,,
Ádammo,Sin miedo  ,"present indicative, subjunctive, stem changing verbs,object pronouns","volver, regresar, nunca, tener miedo",,Perú,http://www.youtube.com/watch?v=29zO4_ig46c,,,,,,
Addamo,Hechizo de Amor,"verb + infinitive, present subjunctive, many tenses","hechicero, hechizo",,Perú,http://www.youtube.com/watch?v=hjwmFdkOhvs&feature=player_embedded#at=18,,,,,,
Adhesivo,Sueno Americano,,,"terrorism, immigration, American dream","El Salvador, México",https://www.youtube.com/watch?v=x5n8D1jx-rM,,,,,,
"Aguilé, Luis",Cuando salí de Cuba,,,,Cuba,http://www.youtube.com/watch?v=oYxKIqb87TQ,,,,,,
"Aguilera, Cristina",Pero Me Acuerdo de tí,,"ahora, acuerdo de",,U.S.,https://www.youtube.com/watch?v=-hMC8pQkEmk,,,,,,
Alaska y Dinarama,Mi novio es un zombi,,"dientes, piel, ojos",current fascination with zombis,Spain,https://www.youtube.com/watch?feature=player_embedded&v=l29iI03ecgs,,,,,,
"Alborán, Pablo",Solamente tú,object pronouns,,,Spain,http://www.youtube.com/watch?v=2hYOev1GsOM&feature=fvwrel,,,,,,
"Alboran, Pablo ft. Carminho",Perdóname,,,,Spain/Portugal,http://www.youtube.com/watch?v=8EFMojiDY2k&feature=player_embedded,,,,,,
"Alborán, Pedro",Te he echado de menos,"present perfect, object pronouns attached to participle","echar de menos, quedar",,Spain,http://www.youtube.com/watch?v=cSUEFDZ3p3k,,,,,,
Aldrey,Creo en ti,,,,Venezuela,https://www.youtube.com/watch?v=DB6weL_UYm4,,,,,,
Aldrey,La lista,Quiero + infinitive,,"""bucket list"" of things to do before dying",Venezuela,https://www.youtube.com/watch?v=G0QS9QAXv7I,,,,,,
"Alex, Jorge, Lena",¿Qué serías si fueras……interview,"if, then clause; conditional",,"interview with all three answering ""Si fueras…","Spain, Colombia, Cuba",http://www.youtube.com/watch?v=QjQyqvHIwlc&feature=mfu_in_order&list=UL,,,,,,
"Alex, Jorge, Lena",Estar contigo,"similes, infinitives, gerunds","contigo, yo mismo","Alex Ubago, Jorge Villamizar from Bacilos, Lena Burke","Spain, Colombia, Cuba",http://www.youtube.com/watch?v=Mxpy1CyXr6Q,,,,,,
